W_x,L_x,W_PCT_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,W_y,L_y,W_PCT_y,MIN_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,totalPoints
7,4,0.636,240,51,109,0.468,8,28,0.286,9,11,0.818,17,37,54,24,5,5,11,16,10,3,0.769,240,44,94,0.468,17,39,0.436,20,24,0.833,13,34,47,27,5,6,13,20,244
7,3,0.7,240,46,99,0.465,11,29,0.379,14,17,0.824,12,36,48,23,11,3,12,18,9,1,0.9,240,36,87,0.414,13,40,0.325,13,16,0.813,6,35,41,21,5,9,18,18,215
6,3,0.667,265,47,103,0.456,9,36,0.25,21,25,0.84,12,38,50,28,12,8,13,23,5,4,0.556,265,47,108,0.435,7,23,0.304,20,28,0.714,19,40,59,23,8,6,16,24,245
2,1,0.667,240,39,95,0.411,8,35,0.229,23,28,0.821,16,29,45,23,8,9,12,21,2,1,0.667,240,47,90,0.522,11,26,0.423,21,30,0.7,14,38,52,28,7,6,13,24,235
2,0,1.0,240,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,0,2,0.0,240,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,206
1,0,1.0,240,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,0,1,0.0,240,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,15,20,224
45,37,0.549,240,35,83,0.422,12,32,0.375,23,28,0.821,10,32,42,22,6,6,18,22,54,28,0.659,240,53,101,0.525,14,32,0.438,14,19,0.737,13,37,50,31,10,5,13,23,239
45,36,0.556,240,35,89,0.393,9,42,0.214,22,25,0.88,10,35,45,27,14,3,9,12,34,47,0.42,240,31,87,0.356,7,38,0.184,15,17,0.882,15,42,57,17,6,6,21,19,185
43,36,0.544,240,39,90,0.433,13,35,0.371,11,14,0.786,7,33,40,21,6,8,9,18,40,40,0.5,240,41,85,0.482,8,24,0.333,17,22,0.773,7,37,44,21,7,6,8,13,209
43,35,0.551,240,38,86,0.442,9,32,0.281,26,34,0.765,7,33,40,25,6,2,8,26,36,42,0.462,240,40,91,0.44,8,32,0.25,22,30,0.733,11,41,52,24,5,1,11,23,221
42,35,0.545,240,49,88,0.557,15,33,0.455,11,13,0.846,9,32,41,33,9,3,12,17,38,39,0.494,240,39,91,0.429,8,37,0.216,21,23,0.913,16,30,46,23,6,3,11,14,231
41,35,0.539,240,44,82,0.537,17,35,0.486,18,27,0.667,8,33,41,33,4,9,12,18,18,59,0.234,240,46,98,0.469,9,30,0.3,13,21,0.619,20,32,52,21,9,2,10,18,237
39,34,0.534,240,39,81,0.481,12,34,0.353,24,27,0.889,9,33,42,24,7,7,15,21,47,28,0.627,240,42,89,0.472,12,32,0.375,20,26,0.769,13,27,40,24,7,7,9,21,230
39,33,0.542,240,41,92,0.446,9,33,0.273,18,23,0.783,19,30,49,25,6,5,16,19,46,28,0.622,240,42,83,0.506,14,29,0.483,17,21,0.81,8,26,34,23,6,3,14,20,224
39,32,0.549,240,38,82,0.463,12,35,0.343,14,16,0.875,9,24,33,26,10,3,11,16,48,24,0.667,240,42,80,0.525,12,23,0.522,12,13,0.923,6,34,40,31,5,3,16,17,210
39,31,0.557,240,33,80,0.413,14,39,0.359,16,23,0.696,3,38,41,20,8,4,6,22,42,27,0.609,240,32,82,0.39,13,41,0.317,24,32,0.75,13,44,57,22,2,5,12,17,197
36,28,0.563,240,36,92,0.391,12,43,0.279,18,22,0.818,8,44,52,21,5,9,5,12,20,46,0.303,240,33,88,0.375,8,30,0.267,12,15,0.8,5,44,49,17,2,3,10,19,188
34,27,0.557,240,36,83,0.434,12,36,0.333,20,25,0.8,3,35,38,25,12,6,17,19,44,17,0.721,240,50,102,0.49,14,37,0.378,4,12,0.333,11,44,55,32,10,3,17,21,222
34,24,0.586,240,41,77,0.532,17,39,0.436,17,20,0.85,5,31,36,26,3,5,11,27,32,27,0.542,240,38,83,0.458,8,28,0.286,21,29,0.724,12,29,41,19,4,3,8,18,221
33,23,0.589,240,37,92,0.402,13,40,0.325,11,13,0.846,12,30,42,23,7,6,8,20,36,19,0.655,240,33,75,0.44,6,23,0.261,29,30,0.967,8,33,41,17,4,3,10,12,199
33,22,0.6,240,39,91,0.429,17,44,0.386,21,25,0.84,11,38,49,26,8,1,11,20,26,29,0.473,240,42,91,0.462,5,26,0.192,16,21,0.762,8,38,46,15,4,2,11,16,221
32,22,0.593,240,38,79,0.481,9,28,0.321,27,31,0.871,5,31,36,25,11,2,16,21,30,26,0.536,240,43,92,0.467,9,31,0.29,21,28,0.75,16,32,48,31,10,4,15,24,228
32,21,0.604,240,41,84,0.488,16,31,0.516,18,22,0.818,8,34,42,21,4,5,16,26,31,26,0.544,240,44,92,0.478,12,30,0.4,24,30,0.8,11,35,46,20,11,5,7,19,240
